Date,Open,High,Low,Close,Adj Close,Volume
2022-05-18,128.029999,128.270004,121.529999,122.430000,120.487877,34751000
2022-05-19,120.870003,121.790001,118.599998,119.070000,117.181183,23669500
2022-05-20,119.639999,120.839996,117.269997,119.199997,117.309113,16452000
2022-05-23,119.919998,123.769997,119.860001,122.599998,120.655182,14560300
2022-05-24,121.209999,124.550003,121.080002,124.129997,122.160912,11528300
2022-05-25,124.000000,124.669998,122.599998,123.370003,121.412964,9040600
2022-05-26,125.300003,126.400002,124.400002,126.000000,124.001244,9399200
2022-05-27,125.489998,128.619995,125.309998,128.479996,126.441902,8433300
2022-05-31,127.459999,129.899994,127.419998,128.630005,126.589531,12304100
2022-06-01,128.500000,128.919998,124.680000,125.449997,123.459969,9511600
2022-06-02,125.570000,127.529999,124.330002,127.510002,125.487297,7738100
2022-06-03,126.669998,127.419998,125.089996,125.320000,123.332039,6100900
2022-06-06,125.820000,126.300003,124.589996,124.870003,122.889175,6618500
2022-06-07,121.239998,123.489998,120.879997,123.370003,121.412964,15902600
2022-06-08,122.349998,123.910004,121.949997,122.300003,120.359947,7507600
2022-06-09,122.000000,124.349998,120.989998,121.019997,119.100243,6626700
2022-06-10,119.750000,122.739998,119.339996,121.699997,119.769463,8412700
2022-06-13,119.739998,121.239998,119.089996,119.410004,117.515793,8299300
2022-06-14,119.129997,120.000000,118.169998,119.459999,117.564995,7181400
2022-06-15,119.970001,120.410004,117.900002,119.379997,117.486259,8638000
2022-06-16,118.349998,121.760002,118.230003,120.620003,118.706589,10235600
2022-06-17,120.019997,120.879997,117.970001,118.290001,116.413551,12279600
2022-06-21,118.300003,122.779999,118.220001,122.169998,120.232002,7972200
2022-06-22,122.099998,123.250000,120.589996,120.690002,118.775482,6745000
2022-06-23,121.750000,123.959999,121.199997,123.620003,121.659004,6013600
2022-06-24,124.089996,125.309998,123.160004,123.720001,121.757416,10615300
2022-06-27,123.779999,124.739998,122.790001,124.120003,122.151077,6629700
2022-06-28,124.660004,125.570000,122.290001,122.370003,120.428825,5133000
2022-06-29,122.889999,123.349998,120.970001,121.919998,119.985970,6370500
2022-06-30,120.879997,122.059998,119.889999,121.580002,119.651367,6388700
2022-07-01,121.940002,122.919998,121.160004,122.629997,120.684700,5820300
2022-07-05,122.209999,124.510002,121.610001,124.250000,122.279007,6072700
2022-07-06,124.480003,126.279999,124.300003,125.129997,123.145050,7100000
2022-07-07,125.190002,125.529999,124.120003,125.320000,123.332039,5829100
2022-07-08,125.820000,126.610001,125.150002,125.400002,123.410767,4917000
2022-07-11,125.019997,126.330002,124.620003,125.449997,123.459969,3844300
2022-07-12,125.110001,127.129997,124.720001,125.070000,123.086006,4577400
2022-07-13,124.440002,126.459999,123.910004,125.370003,123.381241,4229700
2022-07-14,124.160004,128.320007,124.139999,127.820000,125.792374,6968500
2022-07-15,128.800003,130.270004,128.050003,129.070007,127.022552,7061400
2022-07-18,128.649994,130.300003,128.259995,128.770004,126.727325,4747900
2022-07-19,129.389999,129.960007,128.600006,129.559998,127.504776,5665100
2022-07-20,130.509995,131.309998,129.500000,130.639999,128.567642,6188300
2022-07-21,130.679993,132.559998,130.500000,132.550003,130.447342,6254900
2022-07-22,132.539993,133.389999,131.229996,132.210007,130.112747,4538800
2022-07-25,132.389999,132.699997,131.460007,132.020004,129.925751,6845100
2022-07-26,121.129997,122.690002,120.059998,121.980003,120.045021,31797200
2022-07-27,121.239998,126.769997,121.029999,126.589996,124.581879,14053200
2022-07-28,126.269997,130.509995,126.269997,129.750000,127.691750,11087400
2022-07-29,128.320007,132.259995,128.009995,132.050003,129.955276,10047300
2022-08-01,131.059998,134.229996,131.000000,132.539993,130.437500,8332100
2022-08-02,133.149994,133.710007,131.399994,132.679993,130.575287,6565000
2022-08-03,132.160004,132.940002,129.860001,130.500000,128.429871,10667700
2022-08-04,130.669998,130.800003,125.330002,125.570000,123.578064,17702000
2022-08-05,125.510002,126.809998,125.120003,126.580002,124.572052,10669000
2022-08-08,126.650002,128.210007,126.610001,127.610001,125.585709,6058400
2022-08-09,127.889999,128.970001,127.209999,128.869995,126.825714,6441700
